Company name,Company domain name,Website URL,Phone number,City,State/Region,Country/Region,FieldCred Tier,FieldCred Trade Category,Trade (as listed),FieldCred Fit Score,Union Signatory,Est Field Workers,Prequal Network,General Company Email,Lead Source Directory,Lead Source URL,FieldCred Notes
Johnson & Wood LLC,johnsonwoodllc.com,https://johnsonwoodllc.com,(810) 715-0700,Burton,MI,United States,B — Commercial/industrial trade,Mechanical,,55,No,,,johnsonwoodllc@hotmail.com,Michigan MCA member list,https://www.michiganmca.org/members,"ENRICH 2026-07-28: Jeff Torrey, President, published on johnsonwoodllc.com/about/ (Jon Clark = VP). No personal email printed anywhere on own site. Company email johnsonwoodllc@hotmail.com from Michigan MCA member directory (https://www.michiganmca.org/quick-links/members) — that directory still lists Steve Torrey as contact, but the company's own About page states Steve Torrey passed away in 2018, so MMCA listing is stale. Main office is actually Flushing MI (3419 Pierson Pl)."
"Walker Electric, Inc.",walkerelectric.biz,https://walkerelectric.biz,(810) 233-5111,Flint,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,info@walkerelectric.biz,MI NECA member list (Flint Division),https://michiganneca.org/neca-members/,"ENRICH 2026-07-28: WEBSITE FOUND (field was blank): walkerelectric.biz. info@walkerelectric.biz printed on the homepage; phone (810) 233-5111 matches record, fax (810) 233-5112. Own site is a minimal two-page site (home + /markets) with no staff names, no about page and no safety page. John Gibbons listed as the company contact on the MI NECA association directory — NO title published there, so Contact Title deliberately left blank. Address 2410 Kansas Ave, Flint MI 48506."
Center Line Electric Company,centerline-elec.com,https://centerline-elec.com,(586) 757-5505,Center Line,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,,SMCNECA member list,https://www.smcneca.org/members,"ENRICH 2026-07-28: Kelvin B. Squires, CEO (of Center Line Electric Inc. and Center Line Technologies), published on https://centerline-elec.com/about-us/. NO email address of any kind is published on this site — home, /who-we-are/, /contact-us/ and /about-us/ all checked; contact is by phone/fax/form only, so Contact Email and Company Email left blank. No safety director published. Address 26554 Lawrence, Center Line MI 48015."
"Schaedler Enterprises, Inc. (SEI Crane)",seicrane.com,https://www.seicrane.com,,Toledo,OH,United States,A — Industrial/turnaround,Crane & Rigging,,58,Yes,,,,Schaedler Enterprises (SEI Crane) website,https://www.seicrane.com/,"Founded 1995, 'Union Proud', 24/7 emergency. Taxi/daily crane rental, pile driving, rigging, machinery moving, caisson drilling, demolition. No phone shown. | ENRICH 2026-07-28: seicrane.com contact/about pages have empty contact blocks (Yext placeholders) — no name, email or phone published."
"Halligan Electric, Inc.",halliganelectric.com,https://www.halliganelectric.com,(810) 238-8581,Flint,MI,United States,B — Commercial/industrial trade,Electrical,,59,Yes,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. Also in MI NECA Flint Division. | ENRICH 2026-07-28: SAFETY DIRECTOR PUBLISHED — Bill Neuhaus, Safety Director, on the staff roster at https://www.halliganelectric.com/about-us/. Full published roster: Debbie Halligan (President), Jim Halligan (Founder), Duncan Halligan (Business Operations Manager), Travis Herriman (Construction Operations Manager), James Mattila (Senior Estimator), Bill Neuhaus (Safety Director), Kayle Graham (Service Foreman), Joe O'Mara (Controller). NO email addresses published anywhere (contact form only) — both email fields left blank. DATA NOTE: site address is 7054 E Court St, Davison MI 48423, not Flint as stored in City."
Monarch Welding,monarchwelding.com,https://monarchwelding.com,(989) 684-3400,Bay City,MI,United States,A — Industrial/turnaround,Welding & Fabrication,,73,No,,,info@monarchwelding.com,Michigan MCA member list,https://www.michiganmca.org/members,"Listed among Michigan Mechanical Contractors Association members. | ENRICH 2026-07-28: Official site monarchwelding.com (Monarch Welding & Engineering). Bay City plant 1566 Tech Dr, (989) 684-3400; HQ is Warren MI (586) 754-5400; third plant Muskegon. /about/ names Brian Wimmer, President. /safety/ page quotes Frank Wimmer, Vice President on safety as a core competency but names no safety director. Only general inbox info@monarchwelding.com published."
CCI Industrial Constructors,ccigroupusa.com,https://www.ccigroupusa.com,(248) 685-3263,,MI,United States,A — Industrial/turnaround,Millwright,,58,No,,,info@ccigroupusa.com,CAM Buyers Guide – Millwrighting category,https://www.cambuyersguide.com/listings/category/53200-millwrighting,"Category page showed name only — no city/phone displayed. | ENRICH 2026-07-28: identified via search as CCI Industrial Constructors, 7428 Kensington Rd, Brighton MI. No named staff published on site."
"Stony Creek Services, Inc.",stonycreekservices.com,https://stonycreekservices.com/,(734) 326-2222,,MI,United States,A — Industrial/turnaround,Insulation,,58,No,,,,CAM Buyers Guide – Insulation category,https://www.cambuyersguide.com/listings/category/44400-insulation,"SILVER member. ""Division 9 Of Stony Creek Services"" also listed separately."
"Rotor Electric Company of Michigan, LLC",rotorelectric.com,https://www.rotorelectric.com,(313) 891-0331,Detroit,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,,SMCNECA member list,https://www.smcneca.org/members,"ENRICH 2026-07-28: SMC NECA member directory publishes contact 'Benjamin Rosenberg' with email Brosenberg@RotorElectric.com at 9522 Grinnell St., Detroit MI 48213, (313) 891-0331 — phone confirms stored value. No title published. DATA CORRECTION: https://www.rotorelectric.com no longer resolves to its own site — it 302-redirects to https://www.mceco.com/rotor-electric-company. Rotor is now a Motor City Electric company (mail domain still active). Stored Website left as-is since it redirects rather than 404s; the MCE subsidiary page carries only the address and phone, no names or emails."
"D.M. Burr Mechanical, Inc.",dmburr.com,https://www.dmburr.com,(810) 233-9114,Flint,MI,United States,B — Commercial/industrial trade,Piping & Plumbing,,59,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 22 – Plumbing. | ENRICH 2026-07-28: dmburr.com (trading as 'The DM Burr Group') home, /mechanical-services and /contact-us all checked — no names, titles or email addresses published anywhere on the site. Michigan phone 810-233-9114 matches record; toll-free 888-533-4600. Offices: 4252 Holiday Dr, Flint MI; 1140 Rankin, Troy MI; plus a North Carolina security division. Nothing recorded."
